Time,Year,Month,Beverage and cigarette_toDecCPI ,CPI_toPM,CPI_rate,,
1,2015,1,100.2,100.2,0.2,,
2,2015,2,100.4,100.1996008,0.199600798,,
3,2015,3,100,99.60159363,-0.398406375,,
4,2015,4,100,100,0,,
5,2015,5,100.5,100.5,0.5,,
6,2015,6,100.5,100,0,,
7,2015,7,100.3,99.80099502,-0.199004975,,
8,2015,8,100.1,99.80059821,-0.199401795,,
9,2015,9,100.1,100,0,,
10,2015,10,100.1,100,0,,
11,2015,11,100.1,100,0,,
12,2015,12,100.2,100.0999001,0.0999001,,
13,2016,1,100.2,100.2,0.2,,
14,2016,2,101,100.7984032,0.798403194,,
15,2016,3,100,99.00990099,-0.99009901,,
16,2016,4,100,100,0,,
17,2016,5,100,100,0,,
18,2016,6,100.2,100.2,0.2,,
19,2016,7,100.2,100,0,,
20,2016,8,100,99.8003992,-0.199600798,,
21,2016,9,100,100,0,,
22,2016,10,100.1,100.1,0.1,,
23,2016,11,100,99.9000999,-0.0999001,,
24,2016,12,100.1,100.1,0.1,,
25,2017,1,101.3,101.3,1.3,,
26,2017,2,100,98.71668312,-1.283316881,,
27,2017,3,100,100,0,,
28,2017,4,100,100,0,,
29,2017,5,100,100,0,,
30,2017,6,100.5,100.5,0.5,,
31,2017,7,100.1,99.60199005,-0.39800995,,
32,2017,8,100,99.9000999,-0.0999001,,
33,2017,9,100,100,0,,
34,2017,10,100,100,0,,
35,2017,11,100.1,100.1,0.1,,
36,2017,12,100.2,100.0999001,0.0999001,,
37,2018,1,100.3,100.3,0.3,,
38,2018,2,100.7,100.3988036,0.398803589,,
39,2018,3,100.2,99.50347567,-0.49652433,,
40,2018,4,99.9,99.7005988,-0.299401198,,
41,2018,5,100.1,100.2002002,0.2002002,,
42,2018,6,99.8,99.7002997,-0.2997003,,
43,2018,7,99.7,99.8997996,-0.100200401,,
44,2018,8,100.6,100.9027081,0.902708124,,
45,2018,9,100.2,99.60238569,-0.397614314,,
46,2018,10,100.2,100,0,,
47,2018,11,100.3,100.0998004,0.099800399,,
48,2018,12,100.4,100.0997009,0.099700897,,
49,2019,1,100.3,100.3,0.3,,
50,2019,2,100.5,100.1994018,0.199401795,,
51,2019,3,100,99.50248756,-0.497512438,,
52,2019,4,100.2,100.2,0.2,,
53,2019,5,100.2,100,0,,
54,2019,6,100.5,100.2994012,0.299401198,,
55,2019,7,100.2,99.70149254,-0.298507463,,
56,2019,8,100,99.8003992,-0.199600798,,
57,2019,9,100.2,100.2,0.2,,
58,2019,10,100,99.8003992,-0.199600798,,
59,2019,11,100.1,100.1,0.1,,
60,2019,12,100.4,100.2997003,0.2997003,,
61,2020,1,100.81,100.81,0.81,,
62,2020,2,99.89,99.08739212,-0.912607876,,
63,2020,3,99.75,99.85984583,-0.14015417,,
64,2020,4,99.86,100.1102757,0.110275689,,
65,2020,5,100.16,100.3004206,0.300420589,,
66,2020,6,100.21,100.0499201,0.049920128,,
67,2020,7,100.14,99.93014669,-0.069853308,,
68,2020,8,100.02,99.88016777,-0.119832235,,
69,2020,9,100.07,100.04999,0.049990002,,
70,2020,10,100,99.93004897,-0.069951034,,
71,2020,11,100.03,100.03,0.03,,
72,2020,12,100.12,100.089973,0.089973008,,
73,2021,1,100.61,100.61,0.61,,
74,2021,2,100.77,100.1590299,0.159029918,,
75,2021,3,99.59,98.82901657,-1.170983428,,
76,2021,4,100.1,100.5120996,0.512099608,,
77,2021,5,100.03,99.93006993,-0.06993007,,
78,2021,6,100.21,100.179946,0.179946016,,
79,2021,7,99.97,99.76050294,-0.239497056,,
80,2021,8,100.25,100.280084,0.280084025,,
81,2021,9,99.95,99.70074813,-0.29925187,,
82,2021,10,100.19,100.2401201,0.24012006,,
83,2021,11,100.56,100.3692983,0.369298333,,
84,2021,12,100.19,99.63206046,-0.367939539,,
85,2022,1,100.68,100.68,0.68,,
86,2022,2,100.15,99.47357966,-0.526420342,,
87,2022,3,99.56,99.41088367,-0.589116326,,
88,2022,4,100.12,100.5624749,0.56247489,,
89,2022,5,100.3,100.1797843,0.179784259,,
90,2022,6,100.28,99.98005982,-0.019940179,,
91,2022,7,100.37,100.0897487,0.089748704,,
92,2022,8,100.18,99.81070041,-0.189299592,,
93,2022,9,100.13,99.95008984,-0.049910162,,
94,2022,10,100.45,100.3195845,0.31958454,,
95,2022,11,100.21,99.76107516,-0.238924838,,
96,2022,12,100.61,100.3991618,0.39916176,,
,,,,,,,
,,,,,,,
,,,,,,,
