Time,Year,Month,Medicament - Health_toDecCPI ,CPI_toPM,CPI_rate
1,2015,1,100.1,100.1,0.1
2,2015,2,100.1,100,0
3,2015,3,100.1,100,0
4,2015,4,100,99.9000999,-0.0999001
5,2015,5,100.1,100.1,0.1
6,2015,6,100.1,100,0
7,2015,7,100.1,100,0
8,2015,8,100.1,100,0
9,2015,9,100.1,100,0
10,2015,10,100.1,100,0
11,2015,11,100.1,100,0
12,2015,12,100,99.9000999,-0.0999001
13,2016,1,100,100,0
14,2016,2,100,100,0
15,2016,3,124.7,124.7,24.7
16,2016,4,100,80.19246191,-19.80753809
17,2016,5,100,100,0
18,2016,6,100,100,0
19,2016,7,100,100,0
20,2016,8,100,100,0
21,2016,9,100,100,0
22,2016,10,126.8,126.8,26.8
23,2016,11,100,78.86435331,-21.13564669
24,2016,12,100,100,0
25,2017,1,100,100,0
26,2017,2,100,100,0
27,2017,3,100,100,0
28,2017,4,100.1,100.1,0.1
29,2017,5,100,99.9000999,-0.0999001
30,2017,6,100,100,0
31,2017,7,100,100,0
32,2017,8,108,108,8
33,2017,9,100,92.59259259,-7.407407407
34,2017,10,100,100,0
35,2017,11,100.1,100.1,0.1
36,2017,12,100.1,100,0
37,2018,1,100.1,100.1,0.1
38,2018,2,100.3,100.1998002,0.1998002
39,2018,3,100.1,99.80059821,-0.199401795
40,2018,4,100,99.9000999,-0.0999001
41,2018,5,100.1,100.1,0.1
42,2018,6,100.1,100,0
43,2018,7,96.5,96.4035964,-3.596403596
44,2018,8,100,103.626943,3.626943005
45,2018,9,100.1,100.1,0.1
46,2018,10,100.1,100,0
47,2018,11,100,99.9000999,-0.0999001
48,2018,12,105.2,105.2,5.2
49,2019,1,100.3,100.3,0.3
50,2019,2,100,99.70089731,-0.299102692
51,2019,3,100,100,0
52,2019,4,100,100,0
53,2019,5,99.4,99.4,-0.6
54,2019,6,100.1,100.7042254,0.704225352
55,2019,7,100,99.9000999,-0.0999001
56,2019,8,102.6,102.6,2.6
57,2019,9,100.2,97.66081871,-2.339181287
58,2019,10,100.1,99.9001996,-0.099800399
59,2019,11,100.1,100,0
60,2019,12,100,99.9000999,-0.0999001
61,2020,1,100.32,100.32,0.32
62,2020,2,100.06,99.74082935,-0.259170654
63,2020,3,100.04,99.98001199,-0.019988007
64,2020,4,100.04,100,0
65,2020,5,100.03,99.990004,-0.009996002
66,2020,6,100.01,99.980006,-0.019994002
67,2020,7,100.09,100.079992,0.079992001
68,2020,8,100.04,99.95004496,-0.04995504
69,2020,9,100,99.96001599,-0.039984006
70,2020,10,100.01,100.01,0.01
71,2020,11,100,99.990001,-0.009999
72,2020,12,100.01,100.01,0.01
73,2021,1,100.03,100.03,0.03
74,2021,2,100.01,99.980006,-0.019994002
75,2021,3,100,99.990001,-0.009999
76,2021,4,100,100,0
77,2021,5,100.01,100.01,0.01
78,2021,6,100.01,100,0
79,2021,7,100.02,100.009999,0.009999
80,2021,8,100.02,100,0
81,2021,9,100.02,100,0
82,2021,10,100.06,100.039992,0.039992002
83,2021,11,100.11,100.04997,0.049970018
84,2021,12,100.01,99.90010988,-0.099890121
85,2022,1,100.02,100.02,0.02
86,2022,2,100.05,100.029994,0.029994001
87,2022,3,100.1,100.049975,0.049975012
88,2022,4,100.05,99.95004995,-0.04995005
89,2022,5,100.02,99.97001499,-0.029985007
90,2022,6,100.02,100,0
91,2022,7,100.03,100.009998,0.009998
92,2022,8,100.02,99.990003,-0.009997001
93,2022,9,100.04,100.019996,0.019996001
94,2022,10,100.02,99.980008,-0.019992003
95,2022,11,100.04,100.019996,0.019996001
96,2022,12,100.03,99.990004,-0.009996002
,,,,,
,,,,,
,,,,,
