Time,Year,Month,Education_toDecCPI,CPI_toPM,CPI_rate
1,2015,1,100,100,0
2,2015,2,100,100,0
3,2015,3,100,100,0
4,2015,4,100,100,0
5,2015,5,100,100,0
6,2015,6,100,100,0
7,2015,7,100,100,0
8,2015,8,102.9,102.9,2.9
9,2015,9,101.4,98.54227405,-1.457725948
10,2015,10,100,98.61932939,-1.380670611
11,2015,11,100,100,0
12,2015,12,100,100,0
13,2016,1,103.7,103.7,3.7
14,2016,2,100,96.43201543,-3.567984571
15,2016,3,100,100,0
16,2016,4,100,100,0
17,2016,5,100,100,0
18,2016,6,100,100,0
19,2016,7,100,100,0
20,2016,8,101.5,101.5,1.5
21,2016,9,109.9,108.2758621,8.275862069
22,2016,10,100,90.99181074,-9.008189263
23,2016,11,100,100,0
24,2016,12,100,100,0
25,2017,1,100,100,0
26,2017,2,100,100,0
27,2017,3,100,100,0
28,2017,4,100,100,0
29,2017,5,100,100,0
30,2017,6,100,100,0
31,2017,7,100,100,0
32,2017,8,104.8,104.8,4.8
33,2017,9,104.8,100,0
34,2017,10,100,95.41984733,-4.580152672
35,2017,11,100,100,0
36,2017,12,100,100,0
37,2018,1,100.2,100.2,0.2
38,2018,2,100.1,99.9001996,-0.099800399
39,2018,3,100,99.9000999,-0.0999001
40,2018,4,100,100,0
41,2018,5,100,100,0
42,2018,6,100,100,0
43,2018,7,100,100,0
44,2018,8,100.4,100.4,0.4
45,2018,9,111.8,111.3545817,11.35458167
46,2018,10,100,89.44543828,-10.55456172
47,2018,11,100.1,100.1,0.1
48,2018,12,100,99.9000999,-0.0999001
49,2019,1,100.1,100.1,0.1
50,2019,2,100,99.9000999,-0.0999001
51,2019,3,100,100,0
52,2019,4,100.2,100.2,0.2
53,2019,5,100,99.8003992,-0.199600798
54,2019,6,100,100,0
55,2019,7,100,100,0
56,2019,8,101,101,1
57,2019,9,101.3,100.2970297,0.297029703
58,2019,10,100,98.71668312,-1.283316881
59,2019,11,100,100,0
60,2019,12,100,100,0
61,2020,1,100.05,100.05,0.05
62,2020,2,100.01,99.96001999,-0.03998001
63,2020,3,100.02,100.009999,0.009999
64,2020,4,100,99.980004,-0.019996001
65,2020,5,100.01,100.01,0.01
66,2020,6,100.05,100.039996,0.039996
67,2020,7,100,99.95002499,-0.049975012
68,2020,8,100.02,100.02,0.02
69,2020,9,102,101.9796041,1.979604079
70,2020,10,100.6,98.62745098,-1.37254902
71,2020,11,100,99.40357853,-0.596421471
72,2020,12,100,100,0
73,2021,1,100,100,0
74,2021,2,100.01,100.01,0.01
75,2021,3,100.01,100,0
76,2021,4,100.01,100,0
77,2021,5,100.01,100,0
78,2021,6,100,99.990001,-0.009999
79,2021,7,100,100,0
80,2021,8,100.01,100.01,0.01
81,2021,9,96.38,96.37036296,-3.629637036
82,2021,10,100.48,104.2539946,4.253994605
83,2021,11,99.78,99.30334395,-0.696656051
84,2021,12,99.56,99.77951493,-0.220485067
85,2022,1,100,100,0
86,2022,2,100.01,100.01,0.01
87,2022,3,100.69,100.679932,0.679932007
88,2022,4,101.8,101.1023935,1.102393485
89,2022,5,100.3,98.52652259,-1.473477407
90,2022,6,100.06,99.76071785,-0.239282154
91,2022,7,100.04,99.98001199,-0.019988007
92,2022,8,100.16,100.119952,0.119952019
93,2022,9,109.65,109.4748403,9.474840256
94,2022,10,94.29,85.99179207,-14.00820793
95,2022,11,91.28,96.80772086,-3.192279139
96,2022,12,100.02,109.5749343,9.574934268
,,,,,
,,,,,
,,,,,
