Time,Year,Month,Gold price index_toDec,CPI_toPM,CPI_rate
1,2015,1,101.2,101.2,1.2
2,2015,2,103.5,102.2727273,2.272727273
3,2015,3,96.8,93.52657005,-6.473429952
4,2015,4,99,102.2727273,2.272727273
5,2015,5,99.9,100.9090909,0.909090909
6,2015,6,100.7,100.8008008,0.800800801
7,2015,7,96.3,95.6305859,-4.369414101
8,2015,8,96.6,100.3115265,0.31152648
9,2015,9,103.4,107.0393375,7.039337474
10,2015,10,99.9,96.61508704,-3.384912959
11,2015,11,100.1,100.2002002,0.2002002
12,2015,12,96.3,96.2037962,-3.796203796
13,2016,1,100.3,100.3,0.3
14,2016,2,102.1,101.7946162,1.794616152
15,2016,3,107.7,105.4848188,5.484818805
16,2016,4,100.2,93.0362117,-6.963788301
17,2016,5,101.5,101.2974052,1.29740519
18,2016,6,99.9,98.42364532,-1.57635468
19,2016,7,105.2,105.3053053,5.305305305
20,2016,8,101.6,96.57794677,-3.422053232
21,2016,9,99.9,98.32677165,-1.673228346
22,2016,10,98.4,98.4984985,-1.501501502
23,2016,11,97.9,99.49186992,-0.508130081
24,2016,12,97.5,99.59141982,-0.408580184
25,2017,1,98.4,98.4,-1.6
26,2017,2,103.4,105.0813008,5.081300813
27,2017,3,99.9,96.61508704,-3.384912959
28,2017,4,100.8,100.9009009,0.900900901
29,2017,5,100,99.20634921,-0.793650794
30,2017,6,100.6,100.6,0.6
31,2017,7,98.8,98.21073559,-1.789264414
32,2017,8,103.3,104.5546559,4.55465587
33,2017,9,103.3,100,0
34,2017,10,99.1,95.93417231,-4.065827686
35,2017,11,99.5,100.4036327,0.403632694
36,2017,12,99.6,100.1005025,0.100502513
37,2018,1,101.9,101.9,1.9
38,2018,2,102.3,100.3925417,0.392541708
39,2018,3,99.9,97.65395894,-2.346041056
40,2018,4,100.4,100.5005005,0.500500501
41,2018,5,99.1,98.70517928,-1.294820717
42,2018,6,98.9,99.79818365,-0.201816347
43,2018,7,98.1,99.19110212,-0.808897877
44,2018,8,98.9,100.8154944,0.815494393
45,2018,9,98.3,99.39332659,-0.606673407
46,2018,10,100.4,102.1363174,2.136317396
47,2018,11,101.2,100.7968127,0.796812749
48,2018,12,100.4,99.20948617,-0.790513834
49,2019,1,102.9,102.9,2.9
50,2019,2,101.6,98.73663751,-1.263362488
51,2019,3,99.9,98.32677165,-1.673228346
52,2019,4,99.3,99.3993994,-0.600600601
53,2019,5,99.6,100.3021148,0.302114804
54,2019,6,101.9,102.3092369,2.309236948
55,2019,7,105.3,103.3366045,3.336604514
56,2019,8,104.3,99.05033238,-0.949667616
57,2019,9,103.4,99.13710451,-0.862895494
58,2019,10,99.6,96.32495164,-3.675048356
59,2019,11,99.6,100,0
60,2019,12,99.4,99.79919679,-0.200803213
61,2020,1,103.69,103.69,3.69
62,2020,2,102.85,99.18989295,-0.81010705
63,2020,3,103.49,100.6222654,0.622265435
64,2020,4,98.8,95.46816117,-4.531838825
65,2020,5,103.15,104.402834,4.402834008
66,2020,6,102.79,99.6509937,-0.349006302
67,2020,7,103.78,100.9631287,0.963128709
68,2020,8,108.9,104.9335132,4.933513201
69,2020,9,99.96,91.79063361,-8.209366391
70,2020,10,98.77,98.80952381,-1.19047619
71,2020,11,100.82,102.075529,2.075529007
72,2020,12,99.65,98.83951597,-1.160484031
73,2021,1,102.46,102.46,2.46
74,2021,2,99.44,97.0525083,-2.947491704
75,2021,3,96.49,97.03338697,-2.966613033
76,2021,4,97.29,100.8291015,0.829101461
77,2021,5,102.15,104.9953747,4.995374653
78,2021,6,100.97,98.84483603,-1.155163975
79,2021,7,97.6,96.66237496,-3.337625037
80,2021,8,99.48,101.9262295,1.926229508
81,2021,9,100.08,100.6031363,0.603136309
82,2021,10,99.15,99.07074341,-0.929256595
83,2021,11,102.53,103.4089763,3.408976299
84,2021,12,99.64,97.18131279,-2.818687213
85,2022,1,100.99,100.99,0.99
86,2022,2,101.91,100.9109813,0.910981285
87,2022,3,103.59,101.6485134,1.648513394
88,2022,4,100.14,96.6695627,-3.330437301
89,2022,5,98.96,98.82164969,-1.17835031
90,2022,6,98.65,99.68674212,-0.313257882
91,2022,7,97.62,98.95590471,-1.044095286
92,2022,8,99.27,101.6902274,1.690227412
93,2022,9,97.75,98.4688224,-1.531177596
94,2022,10,100.68,102.9974425,2.997442455
95,2022,11,101.8,101.1124354,1.112435439
96,2022,12,101.09,99.30255403,-0.697445972
,,,,,
,,,,,
,,,,,
