Time,Year,Month,USD price index_toDec,CPI_toPM,CPI_rate
1,2015,1,100.1,100.1,0.1
2,2015,2,99.9,99.8001998,-0.1998002
3,2015,3,100,100.1001001,0.1001001
4,2015,4,100.9,100.9,0.9
5,2015,5,100.4,99.50445986,-0.495540139
6,2015,6,100.8,100.3984064,0.398406375
7,2015,7,100,99.20634921,-0.793650794
8,2015,8,100.2,100.2,0.2
9,2015,9,102.8,102.5948104,2.594810379
10,2015,10,99.9,97.17898833,-2.821011673
11,2015,11,99.6,99.6996997,-0.3003003
12,2015,12,100.6,101.0040161,1.004016064
13,2016,1,100.1,100.1,0.1
14,2016,2,99.4,99.3006993,-0.699300699
15,2016,3,99.9,100.5030181,0.503018109
16,2016,4,99.9,100,0
17,2016,5,100,100.1001001,0.1001001
18,2016,6,100.3,100.3,0.3
19,2016,7,99.8,99.50149551,-0.498504487
20,2016,8,100,100.2004008,0.200400802
21,2016,9,100,100,0
22,2016,10,100.1,100.1,0.1
23,2016,11,100.2,100.0999001,0.0999001
24,2016,12,101.5,101.2974052,1.29740519
25,2017,1,99.9,99.9,-0.1
26,2017,2,100,100.1001001,0.1001001
27,2017,3,100.6,100.6,0.6
28,2017,4,99.7,99.10536779,-0.894632207
29,2017,5,100,100.3009027,0.300902708
30,2017,6,100,100,0
31,2017,7,100.1,100.1,0.1
32,2017,8,100,99.9000999,-0.0999001
33,2017,9,100,100,0
34,2017,10,100,100,0
35,2017,11,100,100,0
36,2017,12,100,100,0
37,2018,1,100,100,0
38,2018,2,100,100,0
39,2018,3,100.2,100.2,0.2
40,2018,4,100.2,100,0
41,2018,5,99.9,99.7005988,-0.299401198
42,2018,6,100.2,100.3003003,0.3003003
43,2018,7,100.8,100.5988024,0.598802395
44,2018,8,101.2,100.3968254,0.396825397
45,2018,9,100.1,98.91304348,-1.086956522
46,2018,10,100.2,100.0999001,0.0999001
47,2018,11,100,99.8003992,-0.199600798
48,2018,12,100,100,0
49,2019,1,99.4,99.4,-0.6
50,2019,2,100.1,100.7042254,0.704225352
51,2019,3,100,99.9000999,-0.0999001
52,2019,4,100,100,0
53,2019,5,100.4,100.4,0.4
54,2019,6,100.4,100,0
55,2019,7,99.5,99.10358566,-0.896414343
56,2019,8,99.9,100.4020101,0.40201005
57,2019,9,100,100.1001001,0.1001001
58,2019,10,100,100,0
59,2019,11,100,100,0
60,2019,12,99.9,99.9,-0.1
61,2020,1,99.96,99.96,-0.04
62,2020,2,100.28,100.3201281,0.320128051
63,2020,3,100.05,99.7706422,-0.229357798
64,2020,4,101.2,101.1494253,1.149425287
65,2020,5,99.55,98.36956522,-1.630434783
66,2020,6,99.4,99.84932195,-0.150678051
67,2020,7,99.77,100.3722334,0.3722334
68,2020,8,99.93,100.1603688,0.160368848
69,2020,9,100,100.070049,0.070049034
70,2020,10,100.03,100.03,0.03
71,2020,11,99.97,99.94001799,-0.059982005
72,2020,12,99.84,99.86996099,-0.130039012
73,2021,1,99.81,99.81,-0.19
74,2021,2,99.73,99.91984771,-0.080152289
75,2021,3,100.02,100.2907851,0.29078512
76,2021,4,100.17,100.14997,0.149970006
77,2021,5,99.92,99.75042428,-0.249575721
78,2021,6,99.83,99.90992794,-0.090072058
79,2021,7,100,100.1702895,0.170289492
80,2021,8,99.59,99.59,-0.41
81,2021,9,99.4,99.80921779,-0.190782207
82,2021,10,99.91,100.5130785,0.513078471
83,2021,11,99.73,99.81983785,-0.180162146
84,2021,12,100.76,101.0327885,1.032788529
85,2022,1,99.74,99.74,-0.26
86,2022,2,99.7,99.95989573,-0.040104271
87,2022,3,100.63,100.9327984,0.932798395
88,2022,4,100.12,99.49319288,-0.506807115
89,2022,5,100.57,100.4494606,0.449460647
90,2022,6,100.84,100.2684697,0.268469723
91,2022,7,100.58,99.74216581,-0.257834193
92,2022,8,100.22,99.64207596,-0.357924041
93,2022,9,100.28,100.0598683,0.05986829
94,2022,10,102.06,101.7750299,1.775029916
95,2022,11,103.23,101.1463845,1.14638448
96,2022,12,97.49,94.43960089,-5.560399109
,,,,,
,,,,,
,,,,,
