STT,Ngay,Ttb,Tmax,Tmin,Bh_evaporation,RRR_Rain,Utb_Hum,Umin,SSS_Sun,Fx,Dx_wind,mua,muarao,muaphun,suongmu,giong,chop
1,1-Jan-16,11.5,13.6,10.2,0.3,0.0,94,85,0.0,NNE,4,0,0,0,0,0,0
2,2-Jan-16,13.0,15.0,11.4,0.4,0.0,96,93,0.4,ESE,4,0,0,0,0,0,0
3,3-Jan-16,14.4,17.2,12.7,0.5,0.0,97,94,1.8,SE,4,0,0,0,0,0,0
4,4-Jan-16,15.2,17.3,14.4,0.3,0.0,97,91,0.6,NW,5,0,0,0,0,0,0
5,5-Jan-16,16.1,19.8,15.3,0.6,0.0,96,87,4.5,WSW,10,0,0,0,0,0,0
6,6-Jan-16,16.3,20.6,14.4,0.7,0.0,94,86,6.3,E,6,0,0,0,0,0,0
7,7-Jan-16,15.5,18.3,14.6,0.2,0.0,100,99,1.6,ESE,5,0,0,0,1,0,0
8,8-Jan-16,15.1,16.4,14.5,0.0,0.1,100,100,0.4,ESE,7,1,0,0,1,0,0
9,9-Jan-16,16.0,17.3,15.0,0.0,1.0,100,100,0.4,SW,8,1,0,0,1,0,0
10,10-Jan-16,18.0,20.3,16.9,0.9,8.3,93,72,4.1,WSW,10,1,1,0,0,0,0
11,11-Jan-16,14.9,18.7,12.2,1.4,0.0,94,88,5.6,NE,6,0,0,0,0,0,0
12,12-Jan-16,11.8,12.5,11.5,0.4,0.1,96,88,0.0,NE,6,1,0,1,0,0,0
13,13-Jan-16,12.6,13.9,11.6,0.0,0.4,100,100,0.0,E,6,1,0,1,1,0,0
14,14-Jan-16,13.8,14.8,12.5,0.1,8.2,100,99,0.0,ESE,9,1,0,0,1,0,0
15,15-Jan-16,13.4,15.2,12.0,0.0,6.2,100,100,0.0,WSW,6,1,0,0,1,0,0
16,16-Jan-16,13.0,14.4,11.5,0.0,3.8,100,100,0.0,SE,6,1,0,0,1,0,0
17,17-Jan-16,13.4,16.1,11.6,0.2,0.4,96,90,5.0,NE,6,0,0,1,0,0,0
18,18-Jan-16,11.7,13.4,9.9,0.9,0.0,90,86,0.7,ENE,7,0,0,0,0,0,0
19,19-Jan-16,11.7,12.6,10.3,0.2,0.8,95,86,0.0,ESE,7,1,0,0,0,0,0
20,20-Jan-16,12.7,13.9,11.6,0.1,0.4,100,100,0.0,SE,5,0,0,1,1,0,0
21,21-Jan-16,14.0,15.2,13.0,0.0,1.1,100,99,0.0,SW,5,1,0,0,1,0,0
22,22-Jan-16,13.8,15.3,11.6,0.0,1.9,100,99,0.0,SE,4,1,0,0,0,0,0
23,23-Jan-16,4.0,12.4,1.5,0.5,7.0,94,87,0.0,NE,14,1,1,0,0,0,0
24,24-Jan-16,-0.5,1.5,-1.0,0.0,15.0,87,80,0.0,NE,12,1,0,0,1,0,0
25,25-Jan-16,1.3,3.2,-0.1,0.9,3.1,78,70,0.0,NE,8,1,0,1,0,0,0
26,26-Jan-16,1.4,2.2,6.0,0.2,29.8,100,98,0.0,NE,6,1,0,0,0,0,0
27,27-Jan-16,7.3,9.6,1.8,0.2,13.4,97,92,0.0,NE,5,1,0,0,1,0,0
28,28-Jan-16,11.9,16.4,8.9,0.5,15.6,96,84,3.2,WSW,6,1,0,0,1,0,0
29,29-Jan-16,13.1,17.3,11.4,1.1,0.0,90,84,7.2,NNE,7,0,0,0,0,0,0
30,30-Jan-16,11.7,13.4,11.0,0.0,1.0,100,99,0.0,NE,7,1,0,0,1,0,0
31,31-Jan-16,13.2,15.7,11.7,0.2,4.3,99,99,0.0,NE,6,1,0,0,0,0,0
32,1-Feb-16,7.7,13.6,6.6,0.7,5.1,95,91,0.0,NE,14,1,0,1,1,0,0
33,2-Feb-16,6.3,8.8,4.7,1.3,0.0,84,81,0.3,NE,11,0,0,0,0,0,0
34,3-Feb-16,6.8,8.9,5.5,0.8,0.0,82,74,0.0,NE,6,0,0,0,0,0,0
35,4-Feb-16,7.0,8.0,6.3,1.6,0.4,98,89,0.0,NNE,10,0,0,1,0,0,0
36,5-Feb-16,8.3,9.8,6.3,1.2,0.5,80,64,0.0,NNE,11,1,0,0,1,0,0
37,6-Feb-16,8.9,12.8,7.0,3.5,0.0,59,46,9.3,NNE,11,0,0,0,0,0,0
38,7-Feb-16,9.9,14.0,6.6,2.9,0.0,56,54,9.6,NNE,6,0,0,0,0,0,0
39,8-Feb-16,10.7,16.0,6.9,3.7,0.0,43,16,9.9,NE,5,0,0,0,0,0,0
40,9-Feb-16,11.4,16.2,7.1,3.6,0.0,49,15,9.9,E,7,0,0,0,0,0,0
41,10-Feb-16,12.3,16.8,8.8,1.5,0.0,80,67,8.7,SE,7,0,0,0,0,0,0
42,11-Feb-16,15.7,21.6,12.7,1.6,0.0,89,74,8.3,SW,5,0,0,0,0,0,0
43,12-Feb-16,19.6,23.9,16.9,4.5,0.0,59,48,9.8,S,7,0,0,0,0,0,0
