Year,CO2 ,GDP ,TO,FDI
1990,3260,13440.91401,0.9907538,0.198832471
1991,3380,13716.99049,1.068491009,0.135074277
1992,3590,15080.41421,1.057813646,0.167322084
1993,3930,14420.5082,1.065269822,0.194850769
1994,4270,14000.84937,0.994874259,0.14410357
1995,4600,15827.70819,1.155439642,12.31005697
1996,4830,16706.95514,1.205739637,12.77659781
1997,5230,16593.49959,1.156796683,13.501925
1998,4520,12653.82452,1.078761062,14.15031268
1999,4430,14065.34269,1.042195716,16.25801453
2000,4720,17971.50658,1.031716255,9.158360446
2001,4710,16437.63304,1.087188707,1.08362189
2002,4619.999886,16817.12616,1.087479691,3.930498376
2003,5519.999981,18521.1854,1.052584676,1.888281555
2004,5099.999905,21839.62541,1.005895707,1.438021789
2005,4989.999771,25991.16716,0.974576166,1.836754981
2006,7519.999981,30768.39285,0.969411494,0.765769354
2007,7139.999866,32337.31729,0.957504673,2.103544653
2008,7909.999847,37426.66854,1.059138441,1.543688044
2009,7869.999886,27496.96085,1.085726365,3.033690978
2010,7170.000076,34609.94043,0.95368946,3.507036879
2011,7329.999924,46139.58441,0.995365404,3.730949183
2012,7300.000191,46842.96026,1.05641024,4.540677437
2013,7210.000038,43948.85117,1.109368788,4.286776224
2014,7079.999924,41037.07265,1.024209688,3.356501991
2015,6400.000095,30681.67944,0.898937901,1.324701748
2016,6969.99979,26762.94565,0.873182671,-1.320522338
2017,7289.999962,28186.80303,0.85176749,3.858208317
2018,7539.999962,31241.45396,0.938963199,3.804741353
2019,6989.999771,30748.73749,1.085096584,2.771141484
2020,,27179.41199,1.102910037,4.71056541
2021,,31449.07656,1.471231127,1.461809608
,,,,
