Year,CO2 ,GDP ,TO,FDI
1990,1260,,,
1991,1300,,,
1992,1350,,,
1993,1380,247.3485844,0.487242578,2.13614124
1994,1480,262.4428949,0.644680319,2.46826429
1995,1470,315.142348,0.77766728,4.382185009
1996,1530,313.5846723,0.691615668,8.372554207
1997,1640,301.2196654,0.789346445,5.915641749
1998,1880,267.4097962,0.75619473,3.713331177
1999,1910,295.5912853,0.941768881,2.906419522
2000,1960,301.5165985,1.116095341,3.237754226
2001,2150,322.8998639,1.141410517,3.676756427
2002,2210.000038,341.0367658,1.196929361,3.056850915
2003,2380.000114,364.2753017,1.230808122,1.751316579
2004,2380.000114,410.0861329,1.345114174,2.461977045
2005,2660.000086,475.0693943,1.368319301,6.025383905
2006,2960.000038,539.7473654,1.446144535,6.64242251
2007,3660.000086,629.9210715,1.382681469,10.03894968
2008,4059.999943,742.3979663,1.333202594,7.874681055
2009,4750,734.8151245,1.051384754,8.925272448
2010,5139.999866,782.6957324,1.136037182,12.49138118
2011,5360.000134,880.3103044,1.135818435,11.99484384
2012,5670.000076,950.4825446,1.205974375,14.14572541
2013,5739.999771,1015.220881,1.300464867,13.58334609
2014,6949.999809,1098.074538,1.296122323,11.09689482
2015,8430.000305,1170.742816,1.27864067,10.09866353
2016,11069.99969,1281.105964,1.26950029,12.36922143
2017,12689.99958,1400.89926,1.247877735,12.57184973
2018,14579.99992,1533.315985,1.248986128,13.07449807
2019,16180.00031,1671.385385,1.235565238,13.52202109
2020,,1577.911747,1.235030089,14.00948204
2021,,1625.23502,1.322139058,12.92034312
,,,,
,,,,
,,,,
