year,country,ggdp,mil,inf,fdi,gdp
1990,Myanmar,4500000000,0.863495191,17.62677503,161144560.3,2036373523
1991,Myanmar,4700000000,0.765300911,32.27203829,238056791.9,2137184858
1992,Myanmar,4800000000,0.730921186,21.9132104,171558720,2216072577
1993,Myanmar,5300000000,0.707609532,31.83160687,104674233.1,2809748387
1994,Myanmar,5700000000,0.765310217,24.09878608,126091858.5,3821535780
1995,Myanmar,5800000000,,25.1947124,277199199.5,4879257848
1996,Myanmar,6200000000,3.39589051,16.27539664,310437074.9,5759624742
1997,Myanmar,6700000000,3.171004593,29.69723258,387184136,5633070603
1998,Myanmar,6800000000,3.354517933,51.48754975,314450998.9,4613071495
1999,Myanmar,7600000000,3.523108562,18.40104337,253110104.7,5643818689
2000,Myanmar,8500000000,3.541121128,-0.109165515,254789765.5,6849321646
2001,Myanmar,6000000000,3.684832379,21.10130538,208303564.4,6220270632
2002,Myanmar,6300000000,3.493427864,57.07451126,150511225.8,6110632858
2003,Myanmar,9900000000,2.313722377,36.58971753,248882510,7754647428
2004,Myanmar,9800000000,2.008901211,4.534213741,211364295,9390855298
2005,Myanmar,11000000000,1.731383358,9.368618142,234904379,10588433069
2006,Myanmar,13000000000,2.001199222,19.99648734,275812653,11863016315
2007,Myanmar,19000000000,1.562561491,35.02459707,709922015.3,15591182545
2008,Myanmar,31000000000,1.127508161,26.79953719,863880447.3,23013015832
2009,Myanmar,36000000000,1.670462275,1.472343114,1078972201,29455165595
2010,Myanmar,48000000000,1.657227031,7.718381959,901133534.9,37796052939
2011,Myanmar,58000000000,1.354601165,5.021460146,2519813313,54118601975
2012,Myanmar,58000000000,,1.467583227,1333856137,58318677645
2013,Myanmar,58000000000,,5.643038834,2254603965,60572257122
2014,Myanmar,63000000000,,4.953299185,2175015284,63264892768
2015,Myanmar,65000000000,,9.454171895,4083839112,63045305229
2016,Myanmar,65000000000,,6.928825258,3278096410,60291736894
2017,Myanmar,67000000000,,4.572536553,4804272487,61449392056
2018,Myanmar,74000000000,3.899365811,6.872328657,1768195523,67144725831
2019,Myanmar,74000000000,4.044493936,8.825066968,1735589413,68697759361
2020,Myanmar,,3.789505953,,1907154041,78930257227
2021,Myanmar,,4.301367428,,2066606470,65091751273
