year,country,ggdp,mil,inf,fdi,gdp
1990,Bangladesh,31000000000,4.671440867,6.12671847,3238781.189,31598341233
1991,Bangladesh,31000000000,4.33877531,6.357364123,1390444.322,30957483950
1992,Bangladesh,31000000000,4.07429483,3.634076918,3721853.382,31708874594
1993,Bangladesh,33000000000,4.055054417,3.0148186,14049886.52,33166519418
1994,Bangladesh,33000000000,4.074397375,5.313740079,11147788.33,33768660883
1995,Bangladesh,38000000000,,10.2978118,1896372.127,37939748769
1996,Bangladesh,46000000000,1.223165026,2.37712903,13529831.54,46438484108
1997,Bangladesh,48000000000,1.214422802,5.305601057,139376153.1,48244309133
1998,Bangladesh,50000000000,1.36050315,8.402237956,190059373,49984559471
1999,Bangladesh,51000000000,1.429390515,6.106695898,179603006.3,51270569884
2000,Bangladesh,53000000000,1.529023664,2.208256209,280384629.7,53369787319
2001,Bangladesh,53000000000,1.566693141,2.007173742,78527040.08,53991289844
2002,Bangladesh,54000000000,1.539073594,3.332564933,52304931.04,54724081491
2003,Bangladesh,59000000000,1.571667926,5.668707734,268285231.8,60158929188
2004,Bangladesh,64000000000,1.567535198,7.587536385,448905400.7,65108544250
2005,Bangladesh,68000000000,1.584834391,7.046618162,813321971.9,69442943089
2006,Bangladesh,70000000000,1.357119181,6.765261171,456523167.7,71819083684
2007,Bangladesh,78000000000,1.288422776,9.106984969,651029738.1,79611888213
2008,Bangladesh,90000000000,1.185764388,8.901944895,1328422987,91631278239
2009,Bangladesh,100000000000,1.138286942,5.423472362,901286583.1,102478000000
2010,Bangladesh,110000000000,1.123505863,8.126676392,1232258247,115279000000
2011,Bangladesh,130000000000,1.09089437,11.39516516,1264725163,128638000000
2012,Bangladesh,130000000000,1.108238774,6.217504221,1584403460,133356000000
2013,Bangladesh,150000000000,1.114480186,7.530406409,2602962095,149990000000
2014,Bangladesh,170000000000,1.059529893,6.991638892,2539190940,172885000000
2015,Bangladesh,190000000000,1.156730939,6.19428023,2831152765,195079000000
2016,Bangladesh,220000000000,1.320837396,5.513525727,2332724781,265236000000
2017,Bangladesh,250000000000,1.355517777,5.702070157,1810395804,293755000000
2018,Bangladesh,270000000000,1.324419491,5.543621395,2421626238,321379000000
2019,Bangladesh,300000000000,1.258197522,5.591996399,1908045387,351238000000
2020,Bangladesh,,1.279412463,5.691074748,1525312160,373902000000
2021,Bangladesh,,1.350969947,5.545654308,,416265000000
