year,country,ggdp,mil,inf,fdi,gdp
1990,Brunei Darussalam,2700000000.00,,10,7000000,3520551724
1991,Brunei Darussalam,3100000000.00,,12.28070175,5000000,3701667053
1992,Brunei Darussalam,3500000000.00,,15.98011364,7000000,4183548189
1993,Brunei Darussalam,3400000000.00,,11.20636865,8000000,4105706152
1994,Brunei Darussalam,3400000000.00,,6.993392071,5889999.9,4087337960
1995,Brunei Darussalam,4100000000.00,,9.495625322,582760563.3,4734020037
1996,Brunei Darussalam,4400000000.00,6.437735269,8.789659224,653600000,5115602837
1997,Brunei Darussalam,4400000000.00,6.404350125,6.513285807,701740000,5197332974
1998,Brunei Darussalam,3600000000.00,6.245144781,10.57702059,573250000,4051147228
1999,Brunei Darussalam,4000000000.00,5.740231735,6.77732942,747868668.6,4600000000
2000,Brunei Darussalam,4900000000.00,5.982471359,4.01099373,549607250.7,6001153306
2001,Brunei Darussalam,4700000000.00,5.477265965,3.410404624,60694643.66,5601090584
2002,Brunei Darussalam,4900000000.00,6.249493831,2.483430488,229671955.7,5843329108
2003,Brunei Darussalam,5500000000.00,7.183964552,1.566152408,123820911.1,6557333085
2004,Brunei Darussalam,6500000000.00,7.529843893,-18.10863013,113205867,7872333215
2005,Brunei Darussalam,7500000000.00,6.130418352,5.311513064,175068516.6,9531402848
2006,Brunei Darussalam,8500000000.00,4.06920549,5.00045438,87839128.31,11470703002
2007,Brunei Darussalam,9000000000.00,3.886397608,5.156111388,257635717.5,12247694247
2008,Brunei Darussalam,11000000000.00,3.870782758,8.327160494,222184549.5,14393099069
2009,Brunei Darussalam,8500000000.00,3.711419618,4.361122191,325586827.8,10732366286
2010,Brunei Darussalam,11000000000.00,2.532730088,7.036383161,480722547,13707370737
2011,Brunei Darussalam,15000000000.00,2.349427638,8.8489857,691170274.4,18525319978
2012,Brunei Darussalam,16000000000.00,2.303963195,10.91965695,864905527.5,19047940301
2013,Brunei Darussalam,15000000000.00,2.380152244,7.006666667,775641999.1,18093829923
2014,Brunei Darussalam,15000000000.00,2.261792369,8.27106094,573906207.8,17098342541
2015,Brunei Darussalam,11000000000.00,2.941072032,4.548143951,171289167.8,12930394938
2016,Brunei Darussalam,10000000000.00,2.850487901,3.219886894,-150550827.3,11400854268
2017,Brunei Darussalam,11000000000.00,2.24224142,4.95508367,467927550.3,12128104859
2018,Brunei Darussalam,12000000000.00,2.159034489,2.723963862,516202620.6,13567351175
2019,Brunei Darussalam,12000000000.00,2.277507595,2.725821043,373256767.2,13469422959
2020,Brunei Darussalam,,3.086860958,5.62999178,565542275.4,12005825759
2021,Brunei Darussalam,,3.279290461,7.346838598,204749379.8,14006569576
