year,country,ggdp,mil,inf,fdi,gdp
1990,Cambodia,33,3.539384699,,,
1991,Cambodia,1900000000,2.865169907,,,
1992,Cambodia,2200000000,2.636612485,,33000000,
1993,Cambodia,2200000000,3.078642143,,54124000,2533727592
1994,Cambodia,2500000000,4.080878304,,68900000,2791435272
1995,Cambodia,3100000000,,-0.798944338,150800000,3441205693
1996,Cambodia,3100000000,2.071375594,7.150861409,293600000,3506695720
1997,Cambodia,3100000000,2.327896585,7.960213978,203700000,3443413389
1998,Cambodia,2800000000,3.145933014,14.80650354,115871733,3120425503
1999,Cambodia,3300000000,1.761289499,4.008207021,102225822,3517242477
2000,Cambodia,3400000000,3.8423429,-0.791992529,118308566.3,3654031716
2001,Cambodia,3700000000,3.577310579,-0.6006483,146481995.1,3984000517
2002,Cambodia,4000000000,3.238454583,0.211466568,130956363.9,4284028483
2003,Cambodia,4400000000,3.003361162,0.941746118,81580650.56,4658246918
2004,Cambodia,5000000000,2.6620479,4.319336774,131416229.3,5337833248
2005,Cambodia,6000000000,2.510029082,6.61525912,379180190.6,6293046162
2006,Cambodia,7000000000,2.20981321,5.810685505,483209382.7,7274595707
2007,Cambodia,8300000000,1.774810532,8.708827706,867288538.6,8639235842
2008,Cambodia,9900000000,1.519617406,24.09685193,815180218,10351914093
2009,Cambodia,9900000000,1.447518851,-1.241717542,928393617.3,10401851851
2010,Cambodia,11000000000,1.296742212,3.996395281,1404315449,11242275199
2011,Cambodia,12000000000,1.127579071,5.478447496,1538883425,12829541141
2012,Cambodia,14000000000,1.043100079,2.934316093,1988102945,14054443213
2013,Cambodia,15000000000,0.914612028,2.941625096,2068470774,15227991395
2014,Cambodia,16000000000,0.798217508,3.855688614,1853471158,16702610842
2015,Cambodia,18000000000,1.313127999,1.223931955,1822804151,18049954289
2016,Cambodia,19000000000,1.493096881,3.019139751,2475915854,20016747754
2017,Cambodia,22000000000,1.497788708,2.912635574,2788084322,22177200512
2018,Cambodia,24000000000,1.547041585,2.459085154,3212633447,24571753583
2019,Cambodia,27000000000,1.596573701,1.942575008,3663032999,27089389787
2020,Cambodia,,1.663069547,2.940295143,3624644990,25872798012
2021,Cambodia,,1.801622621,2.920734776,3483461606,26961061120
