year,country,ggdp,mil,inf,fdi,gdp
1990,Kazakhstan,24000000000,4.514193317,,,26932729103
1991,Kazakhstan,21000000000,4.764903297,,,24923076923
1992,Kazakhstan,21000000000,4.635771938,,100000000,24917355372
1993,Kazakhstan,20000000000,4.642062722,,1271400000,23409260880
1994,Kazakhstan,18000000000,4.962536061,1877.372395,659700000,21250792886
1995,Kazakhstan,18000000000,,176.1552989,964200000,20374302652
1996,Kazakhstan,18000000000,,39.18254237,1137000000,21035368251
1997,Kazakhstan,20000000000,,17.40804106,1321400000,22165932063
1998,Kazakhstan,19000000000,,7.146326655,1151400000,22135254836
1999,Kazakhstan,14000000000,1.062620209,8.296027653,1587000000,16870821840
2000,Kazakhstan,14000000000,0.838731749,13.18089059,1370521199,18291994909
2001,Kazakhstan,18000000000,1.032421663,8.354137772,2816823050,22152694162
2002,Kazakhstan,20000000000,1.20199446,5.836924521,2588491060,24636593223
2003,Kazakhstan,25000000000,1.112939006,6.438218101,2483253230,30833699703
2004,Kazakhstan,35000000000,1.149738283,6.88205439,5615262947,43151647003
2005,Kazakhstan,46000000000,0.819607059,7.579999291,2546065710,57123671734
2006,Kazakhstan,66000000000,0.78464508,8.721693861,7611168450,81003884545
2007,Kazakhstan,94000000000,0.99981748,10.84683621,11972842989,104850000000
2008,Kazakhstan,120000000000,0.998337702,17.13989978,16818890680,133442000000
2009,Kazakhstan,100000000000,1.029927459,7.316078583,14275888207,115309000000
2010,Kazakhstan,130000000000,0.988239741,7.400463567,7456117901,148047000000
2011,Kazakhstan,170000000000,1.036321239,8.424887619,13760291529,192627000000
2012,Kazakhstan,180000000000,0.978998796,5.09791485,13648134374,207999000000
2013,Kazakhstan,210000000000,1.296876822,5.846409173,10011293285,236635000000
2014,Kazakhstan,200000000000,1.154668506,6.706578291,7308112644,221416000000
2015,Kazakhstan,170000000000,1.103033241,6.665776115,6577824050,184388000000
2016,Kazakhstan,120000000000,1.014415565,14.5460238,17223789548,137278000000
2017,Kazakhstan,150000000000,0.936513485,7.440004373,4757396811,166806000000
2018,Kazakhstan,160000000000,1.046906472,6.019130966,353291554.6,179340000000
2019,Kazakhstan,170000000000,1.078084754,5.245476796,3730856271,181667000000
2020,Kazakhstan,,1.041692055,6.749001838,7194335724,171082000000
2021,Kazakhstan,,1.109721439,,4380302215,197112000000
