year,country,ggdp,mil,inf,fdi,gdp
1990,Malaysia,40000000000.0,,2.617801047,2332455289,44024178343
1991,Malaysia,46000000000.0,,4.358333333,3998448522,49143148094
1992,Malaysia,56000000000.0,,4.7672283,5183358086,59167550163
1993,Malaysia,64000000000.0,,3.536585366,5005642760,66894837030
1994,Malaysia,72000000000.0,,3.724970554,4341800916,74478356958
1995,Malaysia,85000000000.0,,3.450575096,4178239335,88705342903
1996,Malaysia,96000000000.0,2.555403465,3.488559459,5078414948,100855000000
1997,Malaysia,96000000000.0,3.199283621,2.662514597,5136514576,100000000000
1998,Malaysia,69000000000.0,2.986421736,5.270342004,2163401816,72200000000
1999,Malaysia,76000000000.0,2.875245363,2.744561302,3895263158,79100000000
2000,Malaysia,88000000000.0,2.847115281,1.534740237,3787631579,93800000000
2001,Malaysia,88000000000.0,2.751345107,1.416784732,553947368.4,92800000000
2002,Malaysia,96000000000.0,2.400564375,1.807872463,3192894737,101000000000
2003,Malaysia,100000000000.0,2.085558651,1.089676326,3218947368,110000000000
2004,Malaysia,120000000000.0,1.605335348,1.421271159,4376052632,125000000000
2005,Malaysia,130000000000.0,2.10148156,2.975070927,3924786635,144000000000
2006,Malaysia,150000000000.0,1.634675548,3.609235642,7690731246,163000000000
2007,Malaysia,180000000000.0,2.084922812,2.027353178,9071369835,194000000000
2008,Malaysia,210000000000.0,2.219131397,5.440782211,7572512432,231000000000
2009,Malaysia,190000000000.0,2.614806731,0.583308406,114664434.6,202000000000
2010,Malaysia,240000000000.0,2.263061968,1.622852356,10885801852,255000000000
2011,Malaysia,280000000000.0,2.173929041,3.174470922,15119439204,298000000000
2012,Malaysia,290000000000.0,2.007597401,1.663571025,8895774251,314000000000
2013,Malaysia,300000000000.0,1.958502533,2.105012312,11296279514,323000000000
2014,Malaysia,320000000000.0,1.824843765,3.142990509,10619431583,338000000000
2015,Malaysia,290000000000.0,1.871486944,2.104389802,9857162112,301000000000
2016,Malaysia,290000000000.0,1.490210106,2.090566595,13470089921,301000000000
2017,Malaysia,310000000000.0,1.552853134,3.871201158,9368469823,319000000000
2018,Malaysia,340000000000.0,1.413330707,0.884709161,8304480742,359000000000
2019,Malaysia,350000000000.0,1.499295799,0.662891866,9154921685,365000000000
2020,Malaysia,,1.434733015,-1.138702154,4058769679,337000000000
2021,Malaysia,,1.503898666,2.477102415,18595649824,373000000000
