year,country,ggdp,mil,inf,fdi,gdp
1990,Pakistan,39000000000.0,12.11954816,9.052131553,245262963.5,40010423970
1991,Pakistan,44000000000.0,9.635787938,11.79127034,258414487,45625234698
1992,Pakistan,48000000000.0,9.54295828,9.509041462,336479857.1,48884606848
1993,Pakistan,50000000000.0,8.637691241,9.97366476,348556957.8,51809949334
1994,Pakistan,51000000000.0,10.87089296,12.36819439,421024638.5,52293456906
1995,Pakistan,59000000000.0,,12.34357852,722631560.7,60636022423
1996,Pakistan,62000000000.0,6.522320235,10.37380859,921976182.5,63320122807
1997,Pakistan,61000000000.0,6.570952788,11.37549289,716253125.4,62433300338
1998,Pakistan,61000000000.0,6.698187549,6.228004154,506000000,62191955814
1999,Pakistan,61000000000.0,6.427312623,4.142637181,532000000,62973855719
2000,Pakistan,80000000000.0,5.923548293,4.366664513,308000000,82017743416
2001,Pakistan,77000000000.0,5.820225283,3.148261446,378000000,79484403985
2002,Pakistan,77000000000.0,6.037166305,3.290344726,826000000,79904985385
2003,Pakistan,89000000000.0,5.621216489,2.914134701,534000000,91760542940
2004,Pakistan,100000000000.0,5.415095044,7.444624693,1118000000,107760000000
2005,Pakistan,120000000000.0,5.189899265,9.06332737,2201000000,120055000000
2006,Pakistan,130000000000.0,4.168722714,7.921084401,4273000000,137264000000
2007,Pakistan,150000000000.0,3.878933945,7.598684411,5590000000,152386000000
2008,Pakistan,170000000000.0,4.073770168,20.28612109,5438000000,170078000000
2009,Pakistan,160000000000.0,4.091427187,13.64776506,2338000000,168153000000
2010,Pakistan,170000000000.0,3.956034117,12.93887056,2022000000,177166000000
2011,Pakistan,210000000000.0,3.897019393,11.91609271,1326000000,213587000000
2012,Pakistan,220000000000.0,3.645255204,9.682351861,859000000,224384000000
2013,Pakistan,220000000000.0,3.5119861,7.692156119,1333000000,231219000000
2014,Pakistan,240000000000.0,3.459371004,7.189384029,1887000000,244361000000
2015,Pakistan,270000000000.0,3.265223993,2.529328173,1673000000,270556000000
2016,Pakistan,270000000000.0,3.423690973,3.765119164,2576000000,313630000000
2017,Pakistan,300000000000.0,3.285650816,4.08537368,2496000000,339206000000
2018,Pakistan,310000000000.0,3.484398773,5.078057259,1737000000,356128000000
2019,Pakistan,270000000000.0,3.470972507,10.5783618,2234000000,320909000000
2020,Pakistan,,3.47657944,9.739993139,2057000000,300426000000
2021,Pakistan,,3.551387243,9.496210561,2102000000,348263000000
