year,country,ggdp,mil,inf,fdi,gdp
1990,Philippines,43000000000.0,3.59474547,12.17735221,530000000,50508286642
1991,Philippines,44000000000.0,3.774448861,19.26145853,544000000,51784207132
1992,Philippines,52000000000.0,4.129131364,8.651003579,228000000,60422309295
1993,Philippines,53000000000.0,4.108816358,6.716311041,1238000000,62036625222
1994,Philippines,63000000000.0,4.024714006,10.38647343,1591000000,73159245526
1995,Philippines,73000000000.0,,6.83199611,1478000000,84644220101
1996,Philippines,81000000000.0,2.147246667,7.476103778,1517000000,94648084429
1997,Philippines,81000000000.0,2.010721068,5.590259397,1222000000,94106183450
1998,Philippines,71000000000.0,2.03646157,9.234934323,2287000000,74492325248
1999,Philippines,82000000000.0,2.15753564,5.939049018,1829000000,85640133800
2000,Philippines,82000000000.0,2.172446587,3.977125033,1487000000,83669693589
2001,Philippines,78000000000.0,2.294131535,5.345501956,760000000,78921234458
2002,Philippines,83000000000.0,2.268407676,2.722772277,1769000000,84307291974
2003,Philippines,86000000000.0,1.914461376,2.289156627,492000000,87039145965
2004,Philippines,93000000000.0,1.69729338,4.829210836,592000000,95002028505
2005,Philippines,110000000000.0,1.615775846,6.516853933,1664000000,107420000000
2006,Philippines,130000000000.0,1.608226621,5.485232068,2707414997,127653000000
2007,Philippines,150000000000.0,1.471378833,2.9,2918724841,155980000000
2008,Philippines,180000000000.0,1.473890188,8.260447036,1340027563,181625000000
2009,Philippines,170000000000.0,1.550844829,4.219030521,2064620678,175975000000
2010,Philippines,200000000000.0,1.36062651,3.789836348,1070386940,208369000000
2011,Philippines,230000000000.0,1.33179525,4.718417047,2007150725,234217000000
2012,Philippines,250000000000.0,1.315163937,3.026963911,3215415155,261921000000
2013,Philippines,280000000000.0,1.291425916,2.582687661,3737371740,283903000000
2014,Philippines,290000000000.0,1.250329088,3.597823439,5739574024,297483000000
2015,Philippines,300000000000.0,1.202323394,0.674192537,5639155962,306446000000
2016,Philippines,310000000000.0,1.170132201,1.253698801,8279548275,318627000000
2017,Philippines,320000000000.0,1.153414552,2.853187726,10256442399,328000000000
2018,Philippines,340000000000.0,1.10670419,5.309346616,9948598824,347000000000
2019,Philippines,370000000000.0,1.189501729,2.392065344,8671365874,377000000000
2020,Philippines,,1.043127066,2.393162393,6822133291,362000000000
2021,Philippines,,1.08846304,3.927180221,10518036731,394000000000
