year,country,ggdp,mil,inf,fdi,gdp
1990,Saudi Arabia,100000000000,,2.077151335,1861333333,117630000000
1991,Saudi Arabia,120000000000,,4.861111111,160000000,132223000000
1992,Saudi Arabia,120000000000,,-0.077006006,-78933333.33,137088000000
1993,Saudi Arabia,120000000000,,1.055795314,1367200000,132968000000
1994,Saudi Arabia,120000000000,,0.564325479,349333333.3,135175000000
1995,Saudi Arabia,130000000000,,4.868431031,-1874666667,143343000000
1996,Saudi Arabia,140000000000,14.02429265,1.222069885,-1127466667,158662000000
1997,Saudi Arabia,150000000000,12.46980799,0.057154704,3039466667,165964000000
1998,Saudi Arabia,130000000000,11.28415798,-0.371269735,4283466667,146775000000
1999,Saudi Arabia,150000000000,12.46537228,-1.333763502,-778933333.3,161717000000
2000,Saudi Arabia,160000000000,10.64478167,-1.124994779,-1881066667,190000000000
2001,Saudi Arabia,160000000000,9.27846839,-1.120944775,19640000,184000000000
2002,Saudi Arabia,170000000000,8.468077759,0.247186514,-614133333.3,190000000000
2003,Saudi Arabia,190000000000,11.00093542,0.612194395,-586506666.7,216000000000
2004,Saudi Arabia,220000000000,14.31103745,0.515506767,-334320000,259000000000
2005,Saudi Arabia,280000000000,11.38193602,0.479230398,12097333333,328000000000
2006,Saudi Arabia,320000000000,10.53440331,2.209024079,18293173333,377000000000
2007,Saudi Arabia,350000000000,11.41900489,4.167823301,24318560000,416000000000
2008,Saudi Arabia,430000000000,9.758063801,9.870247913,39455863929,520000000000
2009,Saudi Arabia,380000000000,8.687118465,5.057223147,36457666667,429000000000
2010,Saudi Arabia,470000000000,8.081555659,5.339416806,29232706667,528000000000
2011,Saudi Arabia,570000000000,7.730599237,5.826216088,16308280000,671000000000
2012,Saudi Arabia,620000000000,7.84836739,2.866268875,12182373333,736000000000
2013,Saudi Arabia,630000000000,8.527051209,3.532524707,8864693333,747000000000
2014,Saudi Arabia,640000000000,7.353438468,2.236290315,8011786667,756000000000
2015,Saudi Arabia,590000000000,9.617199261,1.206073222,8141026667,654000000000
2016,Saudi Arabia,590000000000,8.565677426,2.068840361,7452533333,645000000000
2017,Saudi Arabia,630000000000,7.230053324,-0.83819458,1418843614,689000000000
2018,Saudi Arabia,730000000000,7.676602968,2.45814158,4247107441,817000000000
2019,Saudi Arabia,730000000000,8.976127733,-2.093333333,4562573671,804000000000
2020,Saudi Arabia,,10.67791006,3.44545826,5399157040,703000000000
2021,Saudi Arabia,,13.32567233,3.063289889,19285643585,834000000000
