year,country,ggdp,mil,inf,fdi,gdp
1990,Sri Lanka,7800000000,3.099315294,21.49525205,43355119.72,8032551173
1991,Sri Lanka,8800000000,2.9841821,12.18563072,48349173.73,9000362582
1992,Sri Lanka,9400000000,2.835500815,11.38343705,122625843.1,9703011636
1993,Sri Lanka,10000000000,2.86534683,11.74673702,194479070.2,10338679636
1994,Sri Lanka,11000000000,3.201533596,8.448712487,166412940.1,11717604209
1995,Sri Lanka,13000000000,,7.674848735,55995587.57,13029697561
1996,Sri Lanka,14000000000,2.328487433,15.93583105,119874349.7,13897738375
1997,Sri Lanka,15000000000,3.082087849,9.573696264,430056151.8,15091913884
1998,Sri Lanka,16000000000,3.367639901,9.364243007,193424023.1,15794972847
1999,Sri Lanka,15000000000,3.431785654,4.691705631,176410171.3,15656327860
2000,Sri Lanka,16000000000,3.729338058,6.17627591,172941409.8,16330814180
2001,Sri Lanka,15000000000,5.861132243,14.1584558,171790000,15749753805
2002,Sri Lanka,16000000000,5.519783161,9.55103167,196500000,16536535647
2003,Sri Lanka,19000000000,4.630602074,6.314637871,228720000,18881765437
2004,Sri Lanka,20000000000,4.643464081,7.57592583,232800000,20662525941
2005,Sri Lanka,24000000000,4.03016384,11.6396861,272400000,24405791045
2006,Sri Lanka,28000000000,5.033872968,10.02018361,479700000,28279814925
2007,Sri Lanka,32000000000,4.286990589,15.84211149,603000000,32350248411
2008,Sri Lanka,40000000000,3.34258944,22.56449553,752200000,40713812310
2009,Sri Lanka,42000000000,2.868911827,3.464963221,404000000,42066217872
2010,Sri Lanka,56000000000,2.997358479,6.217648893,477559000,58636150710
2011,Sri Lanka,65000000000,2.639533395,6.716768436,955920000,67753288946
2012,Sri Lanka,68000000000,2.798773599,7.542913732,941116591.2,70447191496
2013,Sri Lanka,74000000000,3.260608357,6.908450348,932551317.6,77000596661
2014,Sri Lanka,79000000000,3.243601784,3.179002282,893628980.3,82528526230
2015,Sri Lanka,80000000000,3.16189871,3.768367831,679655644.2,85140963537
2016,Sri Lanka,82000000000,2.70074784,3.958888466,897049375.9,88012262257
2017,Sri Lanka,87000000000,2.683157721,7.704137679,1372723043,94376246467
2018,Sri Lanka,88000000000,2.155199512,2.135037737,1614044009,94493847352
2019,Sri Lanka,84000000000,2.154048243,3.528393582,743466231.5,89014990792
2020,Sri Lanka,,2.412647012,6.153945084,433869416,85349112171
2021,Sri Lanka,,2.553055,7.014780712,597522167.7,88927263725
