year,country,ggdp,mil,inf,fdi,gdp
1990,Thailand,84000000000,1.215139771,5.863994744,2443549743,85343063966
1991,Thailand,97000000000,1.093906012,5.709852599,2013985971,98234695722
1992,Thailand,110000000000,1.082302016,4.139145751,2113021867,111453000000
1993,Thailand,130000000000,1.038329778,3.312191684,1804040985,128889000000
1994,Thailand,140000000000,1.010689752,5.047748977,1366440825,146683000000
1995,Thailand,170000000000,,5.818181818,2067936429,169279000000
1996,Thailand,180000000000,2.594250189,5.805105547,2335837475,183035000000
1997,Thailand,150000000000,2.645024814,5.625797471,3894755071,150181000000
1998,Thailand,110000000000,2.657422878,7.99472875,7314804931,113676000000
1999,Thailand,120000000000,2.524824499,0.284726459,6102677671,127000000000
2000,Thailand,120000000000,2.502383353,1.591969175,3365987583,126000000000
2001,Thailand,120000000000,2.273782373,1.626908873,5067170388,120000000000
2002,Thailand,130000000000,2.151525081,0.697308977,3341612007,134000000000
2003,Thailand,150000000000,2.173922505,1.804349946,5232270340,152000000000
2004,Thailand,170000000000,1.856368281,2.759149262,5860255943,173000000000
2005,Thailand,180000000000,1.623797633,4.540369196,8215637195,189000000000
2006,Thailand,210000000000,1.48823095,4.63747436,8917470351,222000000000
2007,Thailand,250000000000,1.433787439,2.241540953,8633903441,263000000000
2008,Thailand,280000000000,1.349949251,5.468489497,8561557725,291000000000
2009,Thailand,270000000000,1.242127969,-0.845716092,6411458545,282000000000
2010,Thailand,330000000000,1.079806927,3.247588424,14746672920,341000000000
2011,Thailand,360000000000,1.048229469,3.808790581,2473685996,371000000000
2012,Thailand,380000000000,1.101162006,3.014899503,12899036063,398000000000
2013,Thailand,410000000000,1.339697747,2.184886185,15935960665,420000000000
2014,Thailand,390000000000,1.53268866,1.895141819,4975455660,407000000000
2015,Thailand,390000000000,1.703754773,-0.900424963,8927579182,401000000000
2016,Thailand,400000000000,1.454807925,0.188149704,3486184390,413000000000
2017,Thailand,450000000000,1.486704232,0.665631893,8285169820,456000000000
2018,Thailand,500000000000,1.381411553,1.063897542,13186328518,507000000000
2019,Thailand,530000000000,1.403956885,0.706728601,4790362175,544000000000
2020,Thailand,,1.406636553,-0.845937147,-4845358538,500000000000
2021,Thailand,,1.426581859,1.230395413,12156213978,506000000000
