year,country,ggdp,mil,inf,fdi,gdp
1990,Yemen,4600000000,2.442960753,,-130900000,5647119229
1991,Yemen,5100000000,2.267969776,36,282500000,5930370370
1992,Yemen,5700000000,2.28456986,29.41176471,718000000,6463649985
1993,Yemen,5200000000,,35.75229802,903000000,5368270615
1994,Yemen,4200000000,,49.3941554,15800000,4167356037
1995,Yemen,3800000000,,55.08110687,-217699999.9,4258788725
1996,Yemen,4200000000,6.551183444,30.73373327,-60100000,5785685311
1997,Yemen,5300000000,7.011218859,2.176726674,-138500000,6838557384
1998,Yemen,5100000000,7.277043191,5.976508521,-219400000,6325141676
1999,Yemen,5900000000,7.063920416,8.660219494,-307600000,7641102523
2000,Yemen,6900000000,8.398759041,4.59,6399510,9652436180
2001,Yemen,7200000000,6.350578483,11.91159129,155140999.9,9861560095
2002,Yemen,8100000000,5.281345941,12.23853394,114302000,10694628092
2003,Yemen,8800000000,5.805752597,10.8323607,-89106999.9,11777966673
2004,Yemen,10000000000,6.081568704,12.51509515,143578000,13872791659
2005,Yemen,12000000000,5.172722436,11.81126394,-302056736.8,16746344766
2006,Yemen,14000000000,4.915392365,10.84479869,1120970000,19061978586
2007,Yemen,17000000000,5.481014692,7.90511779,917300000,21650532264
2008,Yemen,22000000000,6.89560795,18.9762574,1554630000,26910851362
2009,Yemen,22000000000,6.854552052,5.407760981,129200000,25130274124
2010,Yemen,27000000000,5.301366496,11.17483386,188641795.8,30906749533
2011,Yemen,29000000000,4.868317012,19.54356171,-517842928.5,32726417878
2012,Yemen,33000000000,4.308466835,9.885387145,-14239188.36,35401323350
2013,Yemen,37000000000,4.850723487,10.96844215,-133570895.6,40415233436
2014,Yemen,41000000000,4.445829498,8.104725836,-233104668.6,43228585321
2015,Yemen,37000000000,5.653648497,,-15444808.35,42444495590
2016,Yemen,28000000000,4.685557034,,-561000000,31317828584
2017,Yemen,24000000000,4.926461703,,-269850000,26842231205
2018,Yemen,27000000000,4.573884277,,-282098333.3,21606161066
2019,Yemen,28000000000,4.079527404,,-370982777.7,
2020,Yemen,,3.966891088,,,
2021,Yemen,,,,,
