Year,Brunei,Cambodia,Indonesia,Malaysia,Myanmar,Philippines,Thailand,Vietnam,LaoPDR
1990,1312000000.00,,27157275252.78,31883248918.63,,11884167063.61,35545758339.68,2930215540.33,212221818.86
1991,1487034035.66,,30891188671.15,40044733779.46,,12042304789.91,41756450652.12,3463880947.35,259372152.46
1992,2004297114.79,,34720875699.54,44155181214.91,,14629134236.16,45675804425.97,3831479524.70,305692108.28
1993,2125263027.60,827697458.42,37555937063.10,52860417233.21,,17470700145.28,52752887091.42,4941471554.06,413821982.41
1994,1978525599.06,1079617531.41,44869883142.43,67592211553.12,,20814418386.51,63083936381.71,7078095299.83,614700001.53
1995,2642867221.67,1603001242.57,55882279823.79,86952551834.13,,26565179066.29,81632698112.00,8690196941.36,658400005.84
1996,3102127659.57,1535847163.83,60116979037.70,90962318149.30,,33097093183.20,82833873265.28,12781756977.58,769300009.23
1997,3040140086.21,1560476055.09,60700151259.04,92380580594.79,,39658698531.08,70306654380.94,13755189203.82,720900005.08
1998,2325525812.62,1384886252.61,41249712041.61,67655931512.43,,31488154030.88,48088366852.52,14190608828.55,612099978.47
1999,2226548672.57,1886392172.89,38402067922.34,76187894736.84,,33185838721.89,56073539484.37,15151041598.86,642605485.98
2000,2149450696.06,2256850529.58,50264686469.79,94349736842.11,3035700938.00,34981587109.07,71358153959.68,17922825684.09,660890000.00
2001,2195267064.80,2454136529.51,49355195402.14,86253947368.42,2323609485.00,34524004924.24,68589774463.84,18595918510.04,672540000.00
2002,2432352284.15,2753379504.19,51638437160.68,91820789473.68,3035700012.00,36959578395.69,72957581569.88,21724925553.85,676940000.00
2003,2358621283.43,3100545073.28,54323622341.49,96153421052.63,2323642096.00,39402295845.46,84013658080.35,26759132851.75,750080000.00
2004,2502655957.87,3784818547.15,70744690513.64,118513157894.74,2905966019.00,43034440521.84,106227176896.46,33292010669.38,974190000.00
2005,2601040675.32,4578016312.87,85533800863.55,130552401573.76,3583908495.00,45777699184.00,131483909786.40,38623129914.04,1171610000.00
2006,2892504248.22,5530235561.13,93411753739.23,147059320647.73,4320547829.00,50557016118.31,145055593685.66,46856276474.36,1513521368.25
2007,3416827018.78,6301646856.60,109755093425.23,167026413777.05,4659402932.00,55577046716.68,160397413538.37,65095862341.96,1925686286.47
2008,3974597798.48,7016217713.20,146706628549.32,178116194016.43,4559402932.00,62341251274.16,201114269676.08,83250410219.45,2652146586.36
2009,3841055960.40,5816477547.17,115216544854.10,143890480919.28,4414031343.00,53966279517.28,154464093006.43,76433848992.70,2734099781.37
2010,3832783278.33,6691507363.65,169158028224.50,181098692993.08,3090663620.03,69239779395.56,207270125009.07,88029013743.99,3518554080.12
2011,5563240321.17,7633716514.87,212996886068.27,207619607843.14,3802816127.53,74224300421.81,255199578901.80,110599636758.13,4493664886.56
2012,6758162612.04,8813214288.00,229362101573.16,215525123025.12,3363382486.55,79558175889.44,273216731921.85,116865796043.79,6147143906.24
2013,7761349104.86,10303038305.17,225519356299.67,216892951220.29,9185765851.18,84169667937.29,274440311137.15,136871751088.78,7190675740.82
2014,5855137332.28,11192212102.09,217485215697.15,218113294020.59,13065387715.95,89583117080.22,254633433703.41,153638954038.21,7742491274.13
2015,4872585642.59,11939258368.90,178863652800.16,186602995775.19,15435575721.86,97859085163.99,229553488263.45,172245363449.15,7479510880.21
2016,4302837544.34,13144698808.82,170835000855.92,181125521297.88,18654188952.07,111847750979.63,221168844414.73,183315160854.70,6664545059.12
2017,4318030704.61,14216875296.48,194777318889.99,201498465259.05,21555679857.82,126846430787.82,247430332529.95,222881465184.49,
2018,5693409148.19,15554628992.25,230045611948.79,221904042031.18,22889095621.49,145499540285.67,283801678726.84,248830929052.90,
2019,6810627547.28,16921448889.86,213034645747.57,210891490645.75,20814897953.72,152458637280.53,272916553936.54,265976295597.80,
2020,6355270928.46,16160458172.06,166258355015.89,186309503984.78,20878696529.90,119257481192.86,231112684022.66,273355955834.26,
2021,9377986859.65,18228762398.84,223720346705.59,230244491106.12,16151247726.77,148804215459.61,295718123281.97,341154307726.53,
