Year,Brunei,Cambodia,Indonesia,Malaysia,Myanmar,Philippines,Thailand,Vietnam,LaoPDR
1990,3520551724.14,,106140727356.68,44024178343.01,2036373522.69,50508286641.57,85343063965.92,6471740805.57,865559856.16
1991,3701667052.56,,116621996217.13,49143148094.27,2137184858.04,51784207132.10,98234695722.03,9613369520.42,1028087972.31
1992,4183548189.07,,128026966579.96,59167550162.96,2216072577.11,60422309295.44,111452869378.47,9866990236.44,1127806944.62
1993,4105706151.75,2533727592.04,158006700301.53,66894837030.42,2809748387.10,62036625222.16,128889318946.59,13180953598.17,1327748654.66
1994,4087337959.93,2791435272.27,176892143931.51,74478356957.78,3821535779.82,73159245525.64,146683499005.96,16286433533.32,1543606345.12
1995,4734020036.69,3441205692.92,202132028723.12,88705342902.71,4879257847.77,84644220101.50,169278753531.98,20736164458.95,1763536304.54
1996,5115602836.88,3506695719.57,227369679374.97,100855393910.49,5759624742.27,94648084429.03,183035114648.40,24657470574.75,1873671550.35
1997,5197332974.14,3443413388.69,215748998609.64,100005323301.87,5633070602.54,94106183450.00,150180619366.61,26843700441.55,1747011857.33
1998,4051147227.53,3120425502.58,95445547872.72,72167498980.84,4613071494.63,74492325248.02,113675561057.46,27209602050.05,1280177838.72
1999,4600000000.00,3517242477.23,140001351215.46,79148421052.63,5643818689.48,85640133799.79,126669064386.72,28683659006.78,1454430642.49
2000,6001153306.26,3654031716.27,165021012077.81,93789736842.11,6849321645.96,83669693589.15,126392233706.79,31172518403.32,1731198022.45
2001,5601090584.36,3984000517.02,160446947784.91,92783947368.42,6220270632.34,78921234457.55,120296476180.40,32685198735.31,1768619058.35
2002,5843329107.56,4284028482.54,195660611165.18,100845526315.79,6110632857.67,84307291973.82,134300851255.00,35064105500.83,1758176653.08
2003,6557333084.61,4658246918.27,234772463823.81,110202368421.05,7754647428.07,87039145965.28,152280677649.06,39552513316.07,2023324407.30
2004,7872333215.00,5337833248.04,256836875295.45,124749473684.21,9390855297.74,95002028504.69,172895749632.05,45427854693.26,2366398119.88
2005,9531402847.87,6293046161.83,285868618224.02,143534102611.50,10588433068.85,107419961717.69,189318549680.38,57633255618.27,2735558726.26
2006,11470703002.08,7274595706.67,364570514304.85,162691238209.48,11863016315.29,127652859201.04,221758196504.94,66371664817.04,3455031447.60
2007,12247694247.23,8639235842.18,432216737774.86,193547824063.30,15591182544.71,155980378253.63,262942476722.43,77414425532.25,4223152219.24
2008,14393099068.59,10351914093.17,510228634992.26,230813897715.69,23013015832.10,181624577154.68,291382991177.70,99130304099.13,5446434031.69
2009,10732366286.26,10401851850.61,539580085612.40,202257625195.06,29455165594.69,175974711592.15,281710416557.29,106014659770.22,5836138127.07
2010,13707370737.07,11242275198.98,755094160363.07,255016609232.87,37796052938.73,208368726861.41,341104820155.46,147201163802.55,7131773632.71
2011,18525319977.74,12829541141.01,892969107923.09,297951960784.31,54118601974.79,234216930369.80,370819140946.55,172595034069.16,8750107401.58
2012,19047940300.90,14054443213.46,917869910105.75,314443149443.15,58318677644.95,261920509950.56,397558222957.17,195590647205.69,10192848926.26
2013,18093829923.27,15227991395.22,912524136718.02,323277158906.98,60572257122.30,283902728260.72,420333203150.43,213708830436.65,11983252611.27
2014,17098342541.44,16702610842.40,890814755233.23,338061963396.38,63264892768.37,297483247101.04,407339454060.68,233451484773.97,13279248478.82
2015,12930394937.81,18049954289.42,860854235065.08,301354756113.17,63045305229.10,306446140628.71,401296437425.00,239258340825.53,14426381187.09
2016,11400854267.72,20016747754.02,931877364177.74,301255454041.42,60291736893.94,318626761492.87,413366150655.59,257096001564.77,15912495368.87
2017,12128104859.15,22177200511.58,1015618742565.81,319112175611.57,61449392056.15,328480867142.69,456356961443.50,281353625688.00,17071162084.41
2018,13567351175.03,24571753583.49,1042271531011.99,358791603677.73,67144725830.58,346842094175.24,506754616189.32,310106472642.97,18141651381.39
2019,13469422958.51,27089389786.98,1119099868265.25,365175135787.57,68697759361.23,376823278560.85,544081056184.70,334365257436.76,18740559554.16
2020,12005825759.22,25872798012.19,1058688935454.78,337337932675.15,78930257227.09,361751116292.54,499681757030.97,346615750664.38,18981800705.08
2021,14006569575.68,26961061119.80,1186092991320.04,372980957208.02,65091751273.29,394086401171.17,505947037098.42,366137590600.70,18827148509.58
