Year,Brunei,Cambodia,Indonesia,Malaysia,Myanmar,Philippines,Thailand,Vietnam,LaoPDR
1990,2176000000.00,,28982531189.66,32783097341.86,,9795179683.68,29129233354.83,2332325664.65,98057227.27
1991,2468163926.83,,33063806609.37,38245926680.24,,10856632131.91,35329430022.57,2971976968.92,133175703.91
1992,2421117249.85,,38801726176.40,44957788510.62,,12555553179.81,41206885012.26,3428344546.97,192017652.08
1993,2248421834.39,406842504.95,42274397859.50,52793597762.32,,13836109399.77,47453553768.62,3785936655.43,284956361.05
1994,2087861725.81,719965851.77,46896633113.50,66398033836.31,,17613575496.27,56094870775.35,5539525589.30,385700002.37
1995,2827007196.27,1073111830.14,53185312942.04,83462121212.12,,21961824612.57,70305436039.04,6804127645.68,409499988.57
1996,3065957446.81,889438538.64,58717201041.71,92359488035.61,,27340728434.05,71417410141.78,10077135261.32,425300014.01
1997,2972117456.90,1157570060.48,60106038403.58,93294414081.91,,33018232671.77,72442713530.99,11570361483.05,417400000.08
1998,2044694072.66,974763067.89,50555726234.55,83529351814.11,,28163215373.74,65860554069.93,12203044875.11,466700003.92
1999,2567551622.42,1426037338.31,49720260589.81,96016052631.58,,32895367735.17,71490174196.12,14332147613.24,521789232.36
2000,4042036716.94,1821397244.68,67621169165.83,112369210526.32,2345759824.00,36265975466.31,81953041249.71,16808688578.36,530820000.00
2001,3894175364.18,2093243559.45,62625875833.91,102435789473.68,2749550920.00,32480429836.88,76088350937.05,17997102320.81,492970000.00
2002,3922149447.11,2374299969.16,63956798804.50,109221052631.58,2268204131.00,33727705396.52,81447761993.11,19193787586.95,505520000.00
2003,4543527034.78,2632863068.26,71553141044.99,117854210526.32,2204800421.00,36821926690.81,93686958534.01,22415697883.65,475490000.00
2004,5416090226.01,3395176611.33,82744351781.02,143927631578.95,1973350421.00,39736347400.69,114062537292.65,27134530700.56,589520000.00
2005,6688037370.82,4032880210.24,97387627234.84,162048533178.42,1998600521.00,44289292341.90,129499031578.74,36712091438.12,792320000.00
2006,8227327081.63,4989881264.85,113143424880.16,182515947876.34,3393242421.00,52651008177.06,152293199936.65,44944777029.24,1318269927.28
2007,8310397452.06,5643664446.09,127226102177.01,205486385850.59,3550323521.00,59294671639.75,181094466107.73,54591007520.90,1419583608.94
2008,11269686706.18,6784981006.63,152090401421.80,229658852449.19,3750323521.00,60584207331.13,208095295272.46,69724976613.66,1805715121.84
2009,7811357074.11,5119870899.21,130357798591.19,184897432259.90,3850323521.00,53178723018.39,181530283674.29,66374595429.02,1755689499.12
2010,9239791712.50,6080135276.72,183480563627.39,221686690882.00,4015329166.83,68500864144.52,226787541383.02,79747479877.78,2523508639.18
2011,12876222275.22,6938312829.37,235095130017.57,254020261437.91,4927363219.92,68169842089.34,262743566281.97,105593919964.90,3530069487.67
2012,13364276568.50,8136084082.97,225744402474.11,249353146853.15,3550528930.07,71941899916.64,274121307076.84,124149068561.55,3860717698.89
2013,12311381074.17,9500429495.11,218308408827.84,244491415151.23,9581400482.20,74318409026.01,282342608865.46,142758439428.57,4574379409.77
2014,11657150749.80,10456414664.84,210820082760.73,249467750313.18,12574618317.32,81375067295.56,278596296775.23,162478896349.54,5411897516.21
2015,6751036439.01,11140147276.58,182158299305.40,209286903085.39,12901541589.75,83378041349.10,271423628448.04,174473995760.12,4898082060.90
2016,5652190834.72,12266568264.95,177886012771.60,201164573439.72,13852127379.65,84987326746.33,277248331274.58,190526867908.75,5284448606.02
2017,6012294735.32,13457559457.26,204924485587.55,223415961305.93,15941649695.02,97073621259.95,304266112351.87,230041803995.33,
2018,7045834309.44,15135150382.15,218905647471.41,245969368788.88,19042051784.73,104793501602.69,328570049086.67,261802606400.75,
2019,7804997287.79,16549259440.99,208057763085.71,238378032589.02,20877077817.02,106953449743.69,323768954766.23,284737396050.82,
2020,6886074798.87,15793225848.76,182850626710.37,207797549661.00,22615134490.10,91171552541.37,257700623448.17,292479898296.00,
2021,11228914277.42,17417509553.24,255731268263.15,256755967465.55,18415277429.92,101446840164.86,294505505502.38,341575805638.18,
