Year,CO2 ,GDP ,TO,FDI
1990,148530,582.6789678,0.528918614,1.029764942
1991,162400,629.1606798,0.548395649,1.27077228
1992,171510,678.977737,0.574274341,1.387988834
1993,185090,824.079149,0.505233859,1.268300646
1994,199180,907.4717857,0.51877101,1.19225193
1995,223680,1020.146681,0.539585901,2.15007984
1996,236720,1129.09271,0.522647437,2.724197886
1997,261160,1054.347358,0.559938588,2.167796852
1998,262700,459.1918631,0.961861924,-0.252290448
1999,279480,663.5232299,0.629439129,-1.332573541
2000,280650,770.8653516,0.714368759,-2.757439934
2001,302060,739.0039465,0.697932075,-1.855686193
2002,305640.0146,888.9013897,0.590794618,0.074151638
2003,333890.0146,1052.413199,0.536164937,-0.25425632
2004,341239.9902,1136.755211,0.597612948,0.73824398
2005,342149.9939,1249.397689,0.639879359,2.916114843
2006,364470.0012,1572.797934,0.566571268,1.347942646
2007,379959.9915,1840.329927,0.5482925,1.603010572
2008,376140.0146,2144.389544,0.585613996,1.826329024
2009,391079.9866,2239.095265,0.455121214,0.90391942
2010,415519.989,3094.44309,0.467012739,2.025179138
2011,475309.9976,3613.800902,0.501800132,2.302984285
2012,481510.0098,3668.21207,0.495828983,2.309780327
2013,447940.0024,3602.885517,0.486373727,2.551356334
2014,483910.0037,3476.624853,0.480801756,2.819972605
2015,488549.9878,3322.581688,0.419376402,2.297616387
2016,482510.0098,3558.818852,0.374213418,0.487372471
2017,517320.0073,3839.785069,0.393554971,2.019489201
2018,576989.9902,3902.661668,0.43074309,1.814289797
2019,619840.0269,4151.227543,0.376277775,2.233362049
2020,,3894.272202,0.329755956,1.8112098
2021,,4332.709281,0.404227677,1.801041009
,,,,
