Year,CO2 ,GDP ,TO,FDI
1990,510,200.6191428,0.358472085,0.693192961
1991,550,231.6961552,0.381823216,0.671148791
1992,600,247.2661115,0.441307586,0.691607729
1993,610,283.3862908,0.52628812,2.251932238
1994,640,321.0529113,0.6480927,3.835174699
1995,670,357.9017031,0.605544661,5.392573986
1996,780,371.471748,0.637571736,8.528709312
1997,830,339.1901695,0.651569708,5.20889424
1998,850,243.9864436,0.842695405,3.585439352
1999,880,272.3624326,0.800584562,5.424803198
2000,900,318.7709228,0.688373014,1.9576039
2001,1000,320.4190111,0.658994369,1.35157902
2002,1110.000014,313.6184405,0.672549029,0.253176893
2003,1149.999976,355.6514836,0.605720959,0.962969691
2004,1210.000038,410.251319,0.660797516,0.714895049
2005,1259.99999,467.3795913,0.717926463,1.013321328
2006,1639.999986,581.0102436,0.819613754,5.421387441
2007,1730.000019,699.0413761,0.792126289,7.660628441
2008,2049.999952,887.6397349,0.818491821,4.182002365
2009,2539.999962,936.7903214,0.769308262,5.45905875
2010,2880.000114,1127.835236,0.847203379,3.909348747
2011,3039.999962,1363.72529,0.916986959,3.437026465
2012,3269.999981,1566.009745,0.981851264,6.060674489
2013,4159.999847,1815.440236,0.981791466,5.686246291
2014,4340.000153,1984.50867,0.990597383,6.533849586
2015,8880.000114,2125.459057,0.857983217,7.470757223
2016,15699.99981,2309.049076,0.750918909,5.877746708
2017,19049.99924,2439.463355,,9.917782999
2018,19360.00061,2553.361866,,7.485644375
2019,18709.99908,2598.505523,,4.031491814
2020,,2593.355097,,5.098073156
2021,,2535.623432,,5.693446966
,,,,
,,,,
,,,,
,,,,
