Year,CO2 ,GDP ,TO,FDI
1990,54620,2513.218167,1.468882525,5.298123388
1991,65100,2727.528585,1.593114473,8.136329636
1992,67170,3193.635381,1.50611221,8.760474402
1993,73040,3511.525808,1.579404625,7.482853658
1994,79740,3802.107621,1.799049427,5.829614258
1995,86310,4405.116764,1.921132003,4.710245402
1996,98640,4874.819725,1.817669825,5.035342931
1997,106020,4706.314913,1.856651112,5.136241158
1998,105690,3308.835653,2.094922028,2.997750852
1999,114450,3538.362993,2.175709194,4.921466665
2000,124360,4087.562593,2.20406789,4.038428624
2001,129460,3941.122666,2.03364636,0.597029318
2002,136380.0049,4177.104942,1.993562327,3.166124323
2003,144490.0055,4454.526764,1.941951291,2.920942095
2004,158270.0043,4924.338111,2.103742659,3.50787262
2005,167419.9982,5536.825787,2.038546446,2.734393126
2006,174100.0061,6137.112059,2.025771468,4.727194488
2007,189940.0024,7143.935816,1.924655064,4.686888049
2008,202910.0037,8343.385919,1.766683248,3.280787035
2009,181929.9927,7167.883295,1.625589705,0.056692268
2010,200220.0012,8880.109965,1.579447649,4.268663866
2011,202740.0055,10209.38195,1.549376846,5.074455346
2012,205809.9976,10601.51389,1.478417548,2.829056466
2013,223660.0037,10727.69966,1.427209915,3.494301779
2014,236649.9939,11045.44513,1.383122312,3.141267795
2015,236539.9933,9699.584021,1.313700517,3.270949574
2016,235960.0067,9555.651202,1.268989788,4.471318192
2017,227619.9951,9979.800841,1.331551909,2.935792031
2018,244410.0037,11074.06409,1.304025529,2.31456942
2019,253270.0043,11132.02393,1.230285086,2.506994805
2020,,10160.78325,1.168285614,1.203176188
2021,,11109.26184,1.305697916,4.985683442
,,,,
