Year,CO2 ,GDP ,TO,FDI
1990,4080,50.7829482,,7.913310526
1991,4020,52.5358126,,11.1388021
1992,4280,53.7388483,,7.741565946
1993,4810,67.23767783,,3.725395257
1994,5650,90.26444814,,3.299507469
1995,6940,113.7881689,,5.681175461
1996,7310,132.6388273,,5.389883695
1997,7250,128.1057198,,6.873411738
1998,7910,103.6268381,,6.816521254
1999,8710,125.3022579,,4.484731324
2000,9440,150.4078289,0.785692517,3.719927004
2001,8350,135.1797056,0.815585158,3.348786197
2002,8300.000191,131.4673541,0.867979515,2.46310373
2003,10489.99977,165.2586951,0.583964978,3.209462614
2004,10149.99962,198.3769239,0.519581687,2.250745947
2005,10720.00027,221.8659075,0.527227115,2.218499919
2006,9970.000267,246.6924955,0.650238527,2.324979126
2007,10390.00034,321.8283481,0.52656214,4.553355804
2008,7900.000095,472.2605905,0.361088113,3.753877604
2009,7489.999771,600.9316172,0.280574042,3.663100102
2010,8130.000114,765.2418886,0.188008859,2.384200108
2011,8689.99958,1086.838467,0.161315685,4.656094617
2012,11960.00004,1161.305962,0.118553981,2.287185154
2013,13600.00038,1195.9378,0.309831055,3.722172613
2014,17040.00092,1238.72871,0.405280163,3.437949846
2015,19040.00092,1224.562343,0.449472284,6.477626045
2016,21860.00061,1161.861778,0.539150438,5.437057512
2017,32500,1175.202557,0.610214817,7.818258776
2018,32939.99863,1274.915657,0.62448907,2.633409401
2019,36720.00122,1295.201448,0.606889892,2.526413422
2020,,1477.45287,0.551041293,2.416252155
2021,,1209.926942,0.531043097,3.174912996
,,,,
,,,,
,,,,
,,,,
