Year,CO2 ,GDP ,TO,FDI
1990,41080,820.4871803,0.429223563,1.049332763
1991,40650,821.4532309,0.442199238,1.050513332
1992,44020,936.1482704,0.449911427,0.377344068
1993,47800,938.7637347,0.504650429,1.995595337
1994,51510,1081.432956,0.525265038,2.174708048
1995,61750,1222.290947,0.57330558,1.746132221
1996,67220,1334.105656,0.638553036,1.6027794
1997,74790,1294.110128,0.772286459,1.298533162
1998,74220,1000.005467,0.800772015,3.070114931
1999,71580,1123.163083,0.771614937,2.135680923
2000,72100,1073.263222,0.851533686,1.77722654
2001,70480,991.1479821,0.849003886,0.962985444
2002,71569.99969,1037.174125,0.838448041,2.098276387
2003,73629.99725,1049.387134,0.875746444,0.565262899
2004,75139.99939,1122.855862,0.871252848,0.623144589
2005,76669.99817,1245.286403,0.838456746,1.549060317
2006,69470.00122,1452.220641,0.808505387,2.120919981
2007,73220.00122,1741.603172,0.7364498,1.871212824
2008,75150.00153,1990.35559,0.676810708,0.737800789
2009,76300.00305,1893.281164,0.608865908,1.173248508
2010,81930.00031,2201.775071,0.661042785,0.513698459
2011,82629.99725,2431.202037,0.607958367,0.856962271
2012,86180.00031,2671.777205,0.578420055,1.227630152
2013,95500,2847.566937,0.558247812,1.316426849
2014,101819.9997,2935.925556,0.574681721,1.929377227
2015,111010.0021,2974.299531,0.591415921,1.84017849
2016,121959.9991,3038.149734,0.617760658,2.598510005
2017,133500,3077.43564,0.681683697,3.122386545
2018,138570.0073,3194.674521,0.721633983,2.868336627
2019,145419.9982,3413.847924,0.688418423,2.301175741
2020,,3224.422551,0.581695603,1.885863784
2021,,3460.530963,0.635015709,3.149722744
