Year,CO2 ,GDP ,TO,FDI
1990,89220,1545.274687,0.757823644,2.863208361
1991,98070,1751.068309,0.78471135,2.050177848
1992,107950,1957.407581,0.779546457,1.895888261
1993,122720,2230.842149,0.777461171,1.399682301
1994,137060,2502.703873,0.81248953,0.931557288
1995,155780,2848.619712,0.897561749,1.221616054
1996,174710,3039.8901,0.84274148,1.276169045
1997,177940,2462.417049,0.950517906,2.593380616
1998,156790,1841.042377,1.002404737,6.434808734
1999,163790,2028.56641,1.007062887,4.817812226
2000,164490,2004.107209,1.212979554,2.663128488
2001,173160,1889.971411,1.202679663,4.212235095
2002,184240.0055,2091.178076,1.14969743,2.488154004
2003,191929.9927,2350.846459,1.166928197,3.43593844
2004,210190.0024,2647.26172,1.274118737,3.389473689
2005,217770.0043,2876.247918,1.378538668,4.339583844
2006,219880.0049,3343.784451,1.340869462,4.021258511
2007,224589.9963,3934.688743,1.29873227,3.283571201
2008,227580.0018,4327.7976,1.404370115,2.938248966
2009,220259.9945,4154.184297,1.192694189,2.275903967
2010,234380.0049,4996.372886,1.272505226,4.3232086
2011,233600.0061,5396.649426,1.396754072,0.667086923
2012,250679.9927,5748.631241,1.376749385,3.244565278
2013,260700.0122,6041.12746,1.324622742,3.791268581
2014,256799.9878,5822.383699,1.309054954,1.221451939
2015,264000,5708.796925,1.248396622,2.224684385
2016,261600.0061,5854.461088,1.205752273,0.843364747
2017,258820.0073,6436.791746,1.208914274,1.815502013
2018,257049.9878,7124.564544,1.208418647,2.712796168
2019,267089.9963,7630.03961,1.096684955,1.014317288
2020,,6990.935503,0.978249257,-0.990125094
2021,,7066.190546,1.166571964,2.893756067
,,,,
,,,,
,,,,
,,,,
